CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.73,0.00,25.44,0.01,0.00,1.01,0.00,0.00,0.00,54.19,54.19
0,28.36,0.00,26.41,0.00,0.00,0.07,0.00,0.00,0.00,54.84,54.83
1,29.21,0.00,26.06,0.01,0.00,0.02,0.00,0.00,0.00,55.3,55.29
2,28.75,0.00,24.75,0.00,0.00,0.00,0.00,0.00,0.00,53.5,53.51
3,28.43,0.00,26.04,0.00,0.00,0.01,0.00,0.00,0.00,54.48,54.48
4,27.58,0.00,26.65,0.01,0.00,0.00,0.00,0.00,0.00,54.24,54.24
5,27.76,0.00,26.69,0.03,0.00,0.00,0.00,0.00,0.00,54.48,54.48
6,27.56,0.00,26.31,0.02,0.00,0.00,0.00,0.00,0.00,53.89,53.9
7,28.39,0.00,26.75,0.02,0.00,0.00,0.00,0.00,0.00,55.16,55.17
8,28.83,0.00,26.35,0.00,0.00,0.00,0.00,0.00,0.00,55.18,55.18
9,28.54,0.00,26.60,0.00,0.00,0.01,0.00,0.00,0.00,55.15,55.14
10,29.06,0.00,26.67,0.00,0.00,0.00,0.00,0.00,0.00,55.73,55.73
11,28.02,0.00,26.88,0.00,0.00,0.00,0.00,0.00,0.00,54.9,54.9
12,26.40,0.00,22.10,0.00,0.00,3.85,0.00,0.00,0.00,52.35,52.35
13,24.79,0.00,23.45,0.00,0.00,3.08,0.00,0.00,0.00,51.32,51.33
14,26.12,0.00,22.33,0.00,0.00,5.28,0.00,0.00,0.00,53.73,53.73
15,25.54,0.00,22.57,0.00,0.00,4.43,0.00,0.00,0.00,52.54,52.53
