CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,64.22,0.00,12.94,0.01,0.00,0.88,0.00,0.00,0.00,78.05,78.04
0,67.03,0.00,13.15,0.00,0.00,0.10,0.00,0.00,0.00,80.28,80.28
1,66.88,0.00,12.56,0.00,0.00,0.00,0.00,0.00,0.00,79.44,79.43
2,66.83,0.00,12.91,0.00,0.00,0.00,0.00,0.00,0.00,79.74,79.75
3,66.02,0.00,12.28,0.00,0.00,0.00,0.00,0.00,0.00,78.3,78.3
4,66.09,0.00,12.07,0.00,0.00,0.00,0.00,0.00,0.00,78.16,78.16
5,66.13,0.00,13.39,0.02,0.00,0.00,0.00,0.00,0.00,79.54,79.54
6,66.58,0.00,12.98,0.00,0.00,0.00,0.00,0.00,0.00,79.56,79.55
7,66.94,0.00,12.87,0.00,0.00,0.00,0.00,0.00,0.00,79.81,79.8
8,66.41,0.00,13.03,0.01,0.00,0.00,0.00,0.00,0.00,79.45,79.45
9,66.43,0.00,13.03,0.00,0.00,0.00,0.00,0.00,0.00,79.46,79.47
10,66.61,0.00,13.09,0.00,0.00,0.00,0.00,0.00,0.00,79.7,79.7
11,66.82,0.00,12.98,0.00,0.00,0.00,0.00,0.00,0.00,79.8,79.8
12,57.52,0.00,12.52,0.02,0.00,2.39,0.00,0.00,0.00,72.45,72.45
13,56.67,0.00,13.78,0.02,0.00,2.00,0.00,0.00,0.00,72.47,72.47
14,57.19,0.00,13.23,0.00,0.00,4.78,0.00,0.00,0.00,75.2,75.2
15,57.02,0.00,13.14,0.04,0.00,4.95,0.00,0.00,0.00,75.15,75.16
