CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,41.78,0.00,12.27,0.00,0.00,0.84,0.00,0.00,0.00,54.89,54.89
0,45.53,0.00,12.95,0.00,0.00,0.03,0.00,0.00,0.00,58.51,58.51
1,47.46,0.00,12.61,0.00,0.00,0.00,0.00,0.00,0.00,60.07,60.07
2,45.78,0.00,12.77,0.00,0.00,0.00,0.00,0.00,0.00,58.55,58.55
3,45.94,0.00,12.76,0.00,0.00,0.00,0.00,0.00,0.00,58.7,58.7
4,45.61,0.00,12.99,0.00,0.00,0.00,0.00,0.00,0.00,58.6,58.6
5,44.96,0.00,13.63,0.03,0.00,0.00,0.00,0.00,0.00,58.62,58.62
6,46.20,0.00,12.78,0.00,0.00,0.01,0.00,0.00,0.00,58.99,58.98
7,46.68,0.00,12.79,0.00,0.00,0.00,0.00,0.00,0.00,59.47,59.47
8,45.92,0.00,12.69,0.00,0.00,0.00,0.00,0.00,0.00,58.61,58.61
9,47.05,0.00,13.05,0.00,0.00,0.01,0.00,0.00,0.00,60.11,60.1
10,46.89,0.00,13.08,0.00,0.00,0.00,0.00,0.00,0.00,59.97,59.97
11,47.15,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,60.15,60.14
12,0.29,0.00,0.93,0.00,0.00,0.14,0.00,0.00,0.00,1.36,1.36
13,37.02,0.00,13.64,0.00,0.00,3.87,0.00,0.00,0.00,54.53,54.53
14,37.93,0.00,13.18,0.00,0.00,3.93,0.00,0.00,0.00,55.04,55.04
15,36.70,0.00,13.33,0.00,0.00,5.77,0.00,0.00,0.00,55.8,55.8
