CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,27.29,0.00,19.31,0.00,0.00,0.87,0.00,0.00,0.00,47.47,47.47
0,28.33,0.00,20.55,0.00,0.00,0.02,0.00,0.00,0.00,48.9,48.9
1,29.19,0.00,20.22,0.00,0.00,0.01,0.00,0.00,0.00,49.42,49.42
2,28.06,0.00,18.76,0.00,0.00,0.00,0.00,0.00,0.00,46.82,46.83
3,29.06,0.00,18.63,0.00,0.00,0.00,0.00,0.00,0.00,47.69,47.69
4,28.04,0.00,18.17,0.00,0.00,0.00,0.00,0.00,0.00,46.21,46.21
5,28.25,0.00,19.98,0.00,0.00,0.00,0.00,0.00,0.00,48.23,48.23
6,29.26,0.00,20.22,0.00,0.00,0.00,0.00,0.00,0.00,49.48,49.49
7,27.62,0.00,18.75,0.03,0.00,0.00,0.00,0.00,0.00,46.4,46.4
8,28.81,0.00,19.85,0.01,0.00,0.00,0.00,0.00,0.00,48.67,48.67
9,28.54,0.00,18.78,0.00,0.00,0.00,0.00,0.00,0.00,47.32,47.32
10,28.63,0.00,20.06,0.01,0.00,0.00,0.00,0.00,0.00,48.7,48.69
11,28.75,0.00,20.43,0.00,0.00,0.00,0.00,0.00,0.00,49.18,49.17
12,23.54,0.00,18.11,0.00,0.00,3.71,0.00,0.00,0.00,45.36,45.36
13,23.00,0.00,18.53,0.00,0.00,2.25,0.00,0.00,0.00,43.78,43.78
14,23.94,0.00,20.37,0.00,0.00,3.03,0.00,0.00,0.00,47.34,47.34
15,22.74,0.00,17.36,0.00,0.00,5.60,0.00,0.00,0.00,45.7,45.69
