CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,23.09,0.00,11.80,0.00,0.00,0.59,0.00,0.00,0.00,35.48,35.48
0,23.21,0.00,12.30,0.00,0.00,0.00,0.00,0.00,0.00,35.51,35.51
1,23.64,0.00,11.94,0.00,0.00,0.02,0.00,0.00,0.00,35.6,35.59
2,23.47,0.00,11.42,0.00,0.00,0.00,0.00,0.00,0.00,34.89,34.89
3,23.40,0.00,11.55,0.00,0.00,0.01,0.00,0.00,0.00,34.96,34.96
4,23.54,0.00,11.77,0.00,0.00,0.00,0.00,0.00,0.00,35.31,35.31
5,23.33,0.00,11.68,0.00,0.00,0.00,0.00,0.00,0.00,35.01,35.01
6,23.12,0.00,12.35,0.00,0.00,0.00,0.00,0.00,0.00,35.47,35.47
7,23.15,0.00,12.02,0.07,0.00,0.00,0.00,0.00,0.00,35.24,35.23
8,23.47,0.00,12.03,0.00,0.00,0.00,0.00,0.00,0.00,35.5,35.5
9,23.48,0.00,12.07,0.00,0.00,0.00,0.00,0.00,0.00,35.55,35.55
10,23.65,0.00,11.82,0.00,0.00,0.00,0.00,0.00,0.00,35.47,35.47
11,23.30,0.00,11.91,0.00,0.00,0.00,0.00,0.00,0.00,35.21,35.21
12,22.95,0.00,11.08,0.00,0.00,1.67,0.00,0.00,0.00,35.7,35.7
13,22.22,0.00,12.29,0.00,0.00,1.41,0.00,0.00,0.00,35.92,35.92
14,21.71,0.00,11.41,0.00,0.00,2.54,0.00,0.00,0.00,35.66,35.66
15,21.44,0.00,11.10,0.00,0.00,4.34,0.00,0.00,0.00,36.88,36.88
