CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,70.24,0.00,13.30,0.00,0.00,1.08,0.00,0.00,0.00,84.62,84.62
0,68.57,0.00,13.54,0.00,0.00,0.00,0.00,0.00,0.00,82.11,82.11
1,68.99,0.00,13.13,0.00,0.00,0.03,0.00,0.00,0.00,82.15,82.15
2,69.14,0.00,12.87,0.00,0.00,0.00,0.00,0.00,0.00,82.01,82.02
3,69.07,0.00,13.13,0.00,0.00,0.00,0.00,0.00,0.00,82.2,82.2
4,68.84,0.00,13.20,0.00,0.00,0.00,0.00,0.00,0.00,82.04,82.04
5,68.65,0.00,13.32,0.00,0.00,0.00,0.00,0.00,0.00,81.97,81.97
6,68.78,0.00,13.34,0.00,0.00,0.00,0.00,0.00,0.00,82.12,82.12
7,69.11,0.00,13.01,0.06,0.00,0.00,0.00,0.00,0.00,82.18,82.19
8,67.51,0.00,13.05,0.00,0.00,0.00,0.00,0.00,0.00,80.56,80.56
9,68.48,0.00,13.27,0.00,0.00,0.00,0.00,0.00,0.00,81.75,81.76
10,68.28,0.00,13.11,0.00,0.00,0.00,0.00,0.00,0.00,81.39,81.39
11,68.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,0.00,81.04,81.04
12,75.61,0.00,13.64,0.00,0.00,3.88,0.00,0.00,0.00,93.13,93.13
13,75.69,0.00,13.82,0.00,0.00,3.61,0.00,0.00,0.00,93.12,93.12
14,75.23,0.00,13.70,0.00,0.00,4.12,0.00,0.00,0.00,93.05,93.05
15,73.83,0.00,13.57,0.00,0.00,5.53,0.00,0.00,0.00,92.93,92.93
