CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.14,0.00,29.97,0.02,0.00,20.03,0.00,42.88,0.00,93.04,93.03
0,0.06,0.00,47.26,0.00,0.00,0.00,0.00,45.48,0.00,92.8,92.81
1,0.08,0.00,35.00,0.00,0.00,0.01,0.00,57.79,0.00,92.88,92.88
2,0.10,0.00,45.03,0.00,0.00,0.01,0.00,48.09,0.00,93.23,93.22
3,0.07,0.00,35.69,0.19,0.00,0.00,0.00,56.95,0.00,92.9,92.91
4,0.02,0.00,35.46,0.00,0.00,0.01,0.00,57.40,0.00,92.89,92.9
5,0.17,0.00,34.33,0.00,0.00,0.02,0.00,58.33,0.00,92.85,92.85
6,0.24,0.00,47.43,0.03,0.00,0.01,0.00,45.44,0.00,93.15,93.14
7,0.07,0.00,34.93,0.01,0.00,0.00,0.00,57.78,0.00,92.79,92.79
8,0.06,0.00,44.66,0.00,0.00,0.00,0.00,48.14,0.00,92.86,92.86
9,0.85,0.00,38.05,0.00,0.00,0.06,0.00,53.63,0.00,92.59,92.6
10,0.18,0.00,35.81,0.00,0.00,0.00,0.00,56.68,0.00,92.67,92.68
11,0.10,0.00,33.92,0.00,0.00,0.00,0.00,58.85,0.00,92.87,92.87
12,0.03,0.00,4.07,0.00,0.00,74.77,0.00,13.99,0.00,92.86,92.86
13,0.07,0.00,2.29,0.00,0.00,81.32,0.00,9.98,0.00,93.66,93.65
14,0.03,0.00,2.14,0.00,0.00,82.43,0.00,9.09,0.00,93.69,93.69
15,0.06,0.00,1.09,0.00,0.00,87.13,0.00,5.54,0.00,93.82,93.82
