CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.17,0.00,12.35,0.01,0.00,5.20,0.00,35.47,0.00,53.2,53.21
0,0.16,0.00,7.37,0.00,0.00,0.04,0.00,38.71,0.00,46.28,46.28
1,0.19,0.00,20.66,0.00,0.00,0.00,0.00,32.97,0.00,53.82,53.82
2,0.18,0.00,6.44,0.00,0.00,0.00,0.00,39.09,0.00,45.71,45.71
3,0.21,0.00,6.43,0.02,0.00,0.00,0.00,38.88,0.00,45.54,45.55
4,0.24,0.00,11.66,0.00,0.00,0.00,0.00,36.57,0.00,48.47,48.47
5,0.23,0.00,21.01,0.09,0.00,0.00,0.00,32.55,0.00,53.88,53.89
6,0.18,0.00,18.97,0.00,0.00,0.00,0.00,33.61,0.00,52.76,52.76
7,0.18,0.00,15.63,0.00,0.00,0.00,0.00,34.84,0.00,50.65,50.65
8,0.19,0.00,14.00,0.01,0.00,0.00,0.00,36.08,0.00,50.28,50.28
9,0.21,0.00,10.66,0.02,0.00,0.01,0.00,37.50,0.00,48.4,48.41
10,0.23,0.00,15.59,0.00,0.00,0.01,0.00,35.32,0.00,51.15,51.15
11,0.12,0.00,21.87,0.00,0.00,0.00,0.00,32.60,0.00,54.59,54.59
12,0.07,0.00,5.97,0.00,0.00,16.47,0.00,35.52,0.00,58.03,58.02
13,0.10,0.00,6.23,0.06,0.00,15.70,0.00,35.16,0.00,57.25,57.24
14,0.10,0.00,5.62,0.00,0.00,23.36,0.00,34.71,0.00,63.79,63.78
15,0.05,0.00,4.87,0.01,0.00,41.55,0.00,32.71,0.00,79.19,79.19
