CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,26.34,0.00,9.44,0.01,0.00,0.23,4.34,0.00,0.00,40.36,40.36
0,24.97,0.00,9.83,0.00,0.00,0.18,3.15,0.00,0.00,38.13,38.12
1,24.62,0.00,10.03,0.00,0.00,0.10,2.57,0.00,0.00,37.32,37.31
2,25.15,0.00,8.96,0.00,0.00,0.09,2.65,0.00,0.00,36.85,36.85
3,25.75,0.00,9.41,0.00,0.00,0.09,3.38,0.00,0.00,38.63,38.64
4,27.22,0.00,9.17,0.00,0.00,0.11,2.83,0.00,0.00,39.33,39.33
5,27.90,0.00,9.30,0.00,0.00,0.92,3.03,0.00,0.00,41.15,41.14
6,28.05,0.00,9.65,0.00,0.00,0.15,4.02,0.00,0.00,41.87,41.87
7,28.85,0.00,9.58,0.00,0.00,0.22,3.81,0.00,0.00,42.46,42.45
8,29.32,0.00,9.23,0.00,0.00,0.23,4.17,0.00,0.00,42.95,42.94
9,27.66,0.00,9.85,0.00,0.00,0.18,5.47,0.00,0.00,43.16,43.16
10,27.05,0.00,9.76,0.00,0.00,0.19,5.41,0.00,0.00,42.41,42.41
11,25.85,0.00,9.71,0.00,0.00,0.29,5.09,0.00,0.00,40.94,40.94
12,25.94,0.00,9.39,0.11,0.00,0.27,6.90,0.00,0.00,42.61,42.61
13,25.48,0.00,9.42,0.00,0.00,0.23,4.73,0.00,0.00,39.86,39.86
14,23.86,0.00,8.74,0.00,0.00,0.19,6.52,0.00,0.00,39.31,39.31
15,23.86,0.00,9.04,0.00,0.00,0.22,5.63,0.00,0.00,38.75,38.76
