CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.68,0.00,1.62,0.03,0.00,0.01,0.20,0.00,0.00,2.54,2.53
0,0.64,0.00,1.43,0.12,0.00,0.00,0.20,0.00,0.00,2.39,2.4
1,0.67,0.00,1.49,0.00,0.00,0.00,0.20,0.00,0.00,2.36,2.37
2,0.53,0.00,1.46,0.00,0.00,0.00,0.18,0.00,0.00,2.17,2.17
3,0.76,0.00,1.46,0.00,0.00,0.00,0.20,0.00,0.00,2.42,2.42
4,0.56,0.00,1.46,0.00,0.00,0.00,0.20,0.00,0.00,2.22,2.22
5,0.82,0.00,1.35,0.00,0.00,0.18,0.18,0.00,0.00,2.53,2.52
6,0.73,0.00,1.75,0.00,0.00,0.00,0.20,0.00,0.00,2.68,2.68
7,0.73,0.00,1.55,0.00,0.00,0.03,0.20,0.00,0.00,2.51,2.51
8,0.67,0.00,1.83,0.00,0.00,0.00,0.20,0.00,0.00,2.7,2.71
9,0.61,0.00,1.58,0.32,0.00,0.00,0.20,0.00,0.00,2.71,2.72
10,0.70,0.00,1.58,0.00,0.00,0.00,0.20,0.00,0.00,2.48,2.48
11,0.79,0.00,1.52,0.00,0.00,0.00,0.20,0.00,0.00,2.51,2.51
12,0.58,0.00,1.61,0.00,0.00,0.00,0.20,0.00,0.00,2.39,2.4
13,0.76,0.00,1.63,0.00,0.00,0.00,0.17,0.00,0.00,2.56,2.57
14,0.67,0.00,2.43,0.00,0.00,0.00,0.20,0.00,0.00,3.3,3.3
15,0.67,0.00,1.72,0.00,0.00,0.00,0.20,0.00,0.00,2.59,2.59
