CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,33.02,0.00,6.28,0.01,0.00,0.38,0.00,0.00,0.00,39.69,39.68
0,31.56,0.00,5.17,0.00,0.00,0.19,0.00,0.00,0.00,36.92,36.92
1,31.92,0.00,6.92,0.00,0.00,0.02,0.00,0.00,0.00,38.86,38.85
2,32.92,0.00,5.02,0.00,0.00,0.00,0.00,0.00,0.00,37.94,37.94
3,33.20,0.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,40.5,40.5
4,34.29,0.00,5.40,0.00,0.00,0.00,0.00,0.00,0.00,39.69,39.69
5,34.99,0.00,7.39,0.00,0.00,0.00,0.00,0.00,0.00,42.38,42.38
6,35.98,0.00,7.54,0.00,0.00,0.00,0.00,0.00,0.00,43.52,43.52
7,36.61,0.00,7.43,0.02,0.00,0.00,0.00,0.00,0.00,44.06,44.05
8,37.33,0.00,7.31,0.00,0.00,0.00,0.00,0.00,0.00,44.64,44.64
9,36.64,0.00,5.74,0.00,0.00,0.00,0.00,0.00,0.00,42.38,42.38
10,35.38,0.00,7.35,0.00,0.00,0.00,0.00,0.00,0.00,42.73,42.73
11,34.56,0.00,7.12,0.00,0.00,0.00,0.00,0.00,0.00,41.68,41.68
12,29.34,0.00,5.02,0.08,0.00,1.23,0.00,0.00,0.00,35.67,35.66
13,28.59,0.00,4.54,0.00,0.00,1.87,0.00,0.00,0.00,35,35.01
14,28.27,0.00,4.54,0.00,0.00,0.26,0.00,0.00,0.00,33.07,33.07
15,26.55,0.00,6.63,0.00,0.00,2.61,0.00,0.00,0.00,35.79,35.79
