CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,16.49,0.00,17.05,0.00,0.00,0.65,0.00,0.00,0.00,34.19,34.2
0,16.54,0.00,18.59,0.00,0.00,0.02,0.00,0.00,0.00,35.15,35.16
1,16.73,0.00,18.33,0.00,0.00,0.00,0.00,0.00,0.00,35.06,35.05
2,16.81,0.00,17.46,0.00,0.00,0.01,0.00,0.00,0.00,34.28,34.28
3,17.30,0.00,16.16,0.01,0.00,0.03,0.00,0.00,0.00,33.5,33.49
4,17.16,0.00,17.88,0.00,0.00,0.00,0.00,0.00,0.00,35.04,35.03
5,16.09,0.00,16.94,0.00,0.00,0.03,0.00,0.00,0.00,33.06,33.07
6,17.14,0.00,17.63,0.00,0.00,0.00,0.00,0.00,0.00,34.77,34.77
7,16.97,0.00,18.31,0.00,0.00,0.00,0.00,0.00,0.00,35.28,35.28
8,16.09,0.00,17.76,0.00,0.00,0.00,0.00,0.00,0.00,33.85,33.85
9,17.21,0.00,16.69,0.05,0.00,0.00,0.00,0.00,0.00,33.95,33.94
10,17.00,0.00,16.97,0.00,0.00,0.00,0.00,0.00,0.00,33.97,33.97
11,16.85,0.00,16.87,0.00,0.00,0.03,0.00,0.00,0.00,33.75,33.75
12,16.22,0.00,16.25,0.00,0.00,2.63,0.00,0.00,0.00,35.1,35.1
13,15.15,0.00,15.19,0.00,0.00,3.29,0.00,0.00,0.00,33.63,33.64
14,15.16,0.00,16.30,0.00,0.00,2.37,0.00,0.00,0.00,33.83,33.83
15,15.27,0.00,15.27,0.00,0.00,2.37,0.00,0.00,0.00,32.91,32.92
