CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.39,0.00,7.75,0.00,0.00,7.71,0.00,0.00,0.00,15.85,15.85
0,0.47,0.00,8.30,0.00,0.00,6.78,0.00,0.00,0.00,15.55,15.55
1,0.42,0.00,8.08,0.00,0.00,6.90,0.00,0.00,0.00,15.4,15.4
2,0.42,0.00,8.34,0.00,0.00,6.83,0.00,0.00,0.00,15.59,15.6
3,0.40,0.00,8.14,0.00,0.00,7.10,0.00,0.00,0.00,15.64,15.64
4,0.48,0.00,8.76,0.00,0.00,6.97,0.00,0.00,0.00,16.21,16.21
5,0.36,0.00,8.51,0.00,0.00,6.80,0.00,0.00,0.00,15.67,15.67
6,0.38,0.00,8.41,0.00,0.00,7.06,0.00,0.00,0.00,15.85,15.85
7,0.41,0.00,8.57,0.00,0.00,6.91,0.00,0.00,0.00,15.89,15.89
8,0.42,0.00,8.35,0.00,0.00,6.78,0.00,0.00,0.00,15.55,15.55
9,0.42,0.00,8.35,0.02,0.00,7.03,0.00,0.00,0.00,15.82,15.82
10,0.41,0.00,8.26,0.00,0.00,7.18,0.00,0.00,0.00,15.85,15.85
11,0.39,0.00,8.23,0.00,0.00,6.99,0.00,0.00,0.00,15.61,15.6
12,0.32,0.00,6.21,0.00,0.00,10.00,0.00,0.00,0.00,16.53,16.54
13,0.28,0.00,5.90,0.03,0.00,10.13,0.00,0.00,0.00,16.34,16.33
14,0.32,0.00,5.82,0.00,0.00,9.56,0.00,0.00,0.00,15.7,15.71
15,0.28,0.00,5.75,0.00,0.00,10.38,0.00,0.00,0.00,16.41,16.41
