CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,1.64,0.00,18.10,0.00,0.00,11.17,0.00,0.00,0.00,30.91,30.92
0,1.75,0.00,20.99,0.00,0.00,10.39,0.00,0.00,0.00,33.13,33.13
1,1.75,0.00,22.54,0.00,0.00,8.62,0.00,0.00,0.00,32.91,32.92
2,1.82,0.00,19.35,0.00,0.00,12.56,0.00,0.00,0.00,33.73,33.73
3,1.89,0.00,20.05,0.00,0.00,9.98,0.00,0.00,0.00,31.92,31.92
4,1.56,0.00,17.09,0.00,0.00,11.35,0.00,0.00,0.00,30,30
5,1.70,0.00,22.68,0.00,0.00,8.26,0.00,0.00,0.00,32.64,32.64
6,1.71,0.00,17.03,0.00,0.00,11.12,0.00,0.00,0.00,29.86,29.87
7,1.61,0.00,20.52,0.00,0.00,6.49,0.00,0.00,0.00,28.62,28.62
8,1.65,0.00,21.04,0.00,0.00,8.53,0.00,0.00,0.00,31.22,31.22
9,1.70,0.00,20.31,0.03,0.00,8.67,0.00,0.00,0.00,30.71,30.71
10,1.72,0.00,18.68,0.00,0.00,12.94,0.00,0.00,0.00,33.34,33.34
11,1.75,0.00,21.16,0.00,0.00,6.60,0.00,0.00,0.00,29.51,29.51
12,1.42,0.00,11.82,0.01,0.00,16.33,0.00,0.00,0.00,29.58,29.58
13,1.33,0.00,11.20,0.00,0.00,15.53,0.00,0.00,0.00,28.06,28.06
14,1.33,0.00,10.55,0.00,0.00,16.19,0.00,0.00,0.00,28.07,28.06
15,1.42,0.00,10.91,0.03,0.00,18.13,0.00,0.00,0.00,30.49,30.48
