CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,0.50,0.00,0.07,0.02,0.00,0.00,0.02,0.00,0.00,0.61,0.6
0,0.15,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.18,0.18
1,1.48,0.00,0.46,0.00,0.00,0.00,0.02,0.00,0.00,1.96,1.95
2,0.19,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.22,0.22
3,0.21,0.00,0.02,0.04,0.00,0.00,0.02,0.00,0.00,0.29,0.28
4,0.43,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.47,0.47
5,0.84,0.00,0.10,0.02,0.00,0.08,0.11,0.00,0.00,1.15,1.16
6,0.89,0.00,0.06,0.00,0.00,0.00,0.02,0.00,0.00,0.97,0.96
7,0.86,0.00,0.06,0.00,0.00,0.00,0.02,0.00,0.00,0.94,0.95
8,0.86,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.93,0.93
9,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
10,0.86,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.92,0.92
11,0.05,0.00,0.14,0.00,0.00,0.00,0.01,0.00,0.00,0.2,0.19
12,0.81,0.00,0.05,0.20,0.00,0.00,0.02,0.00,0.00,1.08,1.07
13,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
14,0.12,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14
15,0.18,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.2,0.19
