CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,total,100-idle
all,25.16,0.00,28.84,0.01,0.00,2.19,8.54,0.00,0.00,64.74,64.74
0,25.84,0.00,33.55,0.03,0.00,1.97,5.36,0.00,0.00,66.75,66.75
1,25.95,0.00,28.19,0.00,0.00,2.21,10.24,0.00,0.00,66.59,66.59
2,23.72,0.00,31.12,0.00,0.00,1.53,7.90,0.00,0.00,64.27,64.27
3,26.59,0.00,31.23,0.00,0.00,1.49,8.48,0.00,0.00,67.79,67.78
4,23.73,0.00,25.68,0.00,0.00,1.98,9.26,0.00,0.00,60.65,60.64
5,24.06,0.00,27.24,0.00,0.00,4.78,14.63,0.00,0.00,70.71,70.71
6,27.45,0.00,29.61,0.00,0.00,2.74,9.78,0.00,0.00,69.58,69.58
7,23.72,0.00,27.57,0.14,0.00,1.56,7.90,0.00,0.00,60.89,60.89
8,22.96,0.00,26.68,0.00,0.00,2.15,7.97,0.00,0.00,59.76,59.76
9,24.66,0.00,26.36,0.00,0.00,2.11,7.30,0.00,0.00,60.43,60.44
10,27.49,0.00,30.15,0.00,0.00,1.99,7.13,0.00,0.00,66.76,66.75
11,24.33,0.00,28.48,0.00,0.00,1.53,9.74,0.00,0.00,64.08,64.08
12,25.55,0.00,29.39,0.03,0.00,1.74,6.20,0.00,0.00,62.91,62.91
13,25.31,0.00,29.27,0.00,0.00,2.41,6.66,0.00,0.00,63.65,63.66
14,25.46,0.00,27.42,0.00,0.00,2.16,10.36,0.00,0.00,65.4,65.39
15,25.81,0.00,29.57,0.00,0.00,2.55,7.37,0.00,0.00,65.3,65.3
